CpG_name,Genomic_location,Chromosome,Chromosomal_position,Gene_name,Associated.phenotype,Model.coefficient,Pearson.correlation,P.value,BH.adjusted.P.value,Bonferroni.corrected.P.value,Previous.studies
cg10272901,chr21:46677879,21,46677879,,eGFR slope,1.315848922821682,0.1921210816012608,7.84420978239425e-11,3.411509588041519e-05,3.411509588041519e-05,
cg12354056,chr3:186136503,3,186136503,,eGFR slope,1.125601868601575,0.1824517545561911,7.49763348224233e-10,0.00016303903912475237,0.00032607807824950474,
cg18461548,chr8:37701921,8,37701921,BRF2,eGFR slope,1.178649805325294,0.18919734048982997,2.715481159098444e-09,0.0003936614933137287,0.0011809844799411861,
cg00695821,chr3:156124891,3,156124891,KCNAB1;KCNAB1;KCNAB1,eGFR slope,1.3539158678679748,0.2147301738800121,3.806444343943316e-09,0.00041386327418392496,0.0016554530967356998,
cg22822893,chr6:151662789,6,151662789,AKAP12;AKAP12,eGFR slope,1.0564292795851926,0.1707686341620772,7.393294074411019e-09,0.0006430805478627894,0.0032154027393139473,
cg02566611,chr16:83948975,16,83948975,MLYCD,eGFR slope,0.9863230750956253,0.1599298489451685,5.610165719878041e-08,0.003525172398204265,0.02439905952900719,
cg20741134,chr1:181382639,1,181382639,,eGFR slope,0.9760487408942762,0.15835701335148156,5.673891210883649e-08,0.003525172398204265,0.02467620678742986,
cg04027328,chr1:11372138,1,11372138,,eGFR slope,1.290207801266224,0.2014062401593128,6.808431508280347e-08,0.0037013016630039865,0.029610413304031892,
cg16425726,chr4:83680145,4,83680145,SCD5;SCD5,eGFR slope,0.9553627765947703,0.15452554265754745,1.1541191547365751e-07,0.00545766989058941,0.05019356533481744,
cg21368479,chr6:149415018,6,149415018,,eGFR slope,0.9959855974334322,0.1595786902611397,1.2549021610523168e-07,0.00545766989058941,0.054576698905894096,
cg22930808,chr3:122281881,3,122281881,PARP9;PARP9;DTX3L;PARP9;PARP9;PARP9;PARP9,eGFR slope,0.9998635576958979,0.16019007455546308,1.4404048880962562e-07,0.00569494190065606,0.06264436090721666,
cg21184711,chr7:122488330,7,122488330,CADPS2;CADPS2;CADPS2,eGFR slope,1.1220853799027108,0.17576013361703371,2.2628022762757168e-07,0.008091811285715308,0.09841108123705194,
cg01534253,chr7:28447591,7,28447591,CREB5,eGFR slope,1.096866013765214,0.174856801740293,2.418754005773612e-07,0.008091811285715308,0.10519354671429901,
cg22764782,chr8:94831797,8,94831797,,eGFR slope,1.073444449089879,0.17111381348402205,3.851726338621377e-07,0.011965332846265326,0.16751465984771458,
cg12484808,chr8:70494000,8,70494000,SULF1;SULF1;SULF1;SULF1,eGFR slope,1.119280988007672,0.17893737876496518,5.614297345213483e-07,0.015137839031479049,0.24417028298121052,
cg18047172,chr7:50670059,7,50670059,GRB10;GRB10;GRB10;GRB10,eGFR slope,0.9505635193137915,0.15229845890337362,5.633363306969235e-07,0.015137839031479049,0.24499947691073762,
cg04335815,chr8:11417517,8,11417517,BLK,eGFR slope,0.9616068058767235,0.15367799081468425,6.129548872770648e-07,0.015137839031479049,0.2665789841158937,
cg19754180,chr5:1362700,5,1362700,,eGFR slope,0.9318041985374707,0.14999430199679287,6.265258458492897e-07,0.015137839031479049,0.2724811025666229,
cg24518943,chr6:71123805,6,71123805,FAM135A;FAM135A,eGFR slope,1.009329507823241,0.15855788997189393,7.259970991673173e-07,0.01588926850777833,0.31574194640465963,
cg09333584,chr6:33788925,6,33788925,,eGFR slope,1.7294078065083234,0.2661067219785981,7.804302425664742e-07,0.01588926850777833,0.33941535593410016,
cg08612539,chr22:37257124,22,37257124,NCF4;NCF4;NCF4;NCF4,eGFR slope,1.370998755501573,0.21310905907198366,7.960067945744441e-07,0.01588926850777833,0.34618972301478235,
cg01647632,chr15:89438905,15,89438905,HAPLN3,eGFR slope,0.9295080356119281,0.14810400538974508,8.037651806154941e-07,0.01588926850777833,0.3495639071711233,
